;Component;w;A;D
1;Xenon;0,00363;-6,13040;-2,20930
2;Oxygen;0,02220;-5,99060;-1,47970
3;Neon;-0,03870;-5,73130;-1,79670
4;Nitrogen;0,03700;-6,17110;-2,17530
5;Krypton;-0,00090;-5,99590;-1,68400
6;Hydrazine;0,31600;-7,60620;-2,01450
7;Eicosane;0,86500;-10,20350;-5,65900
8;Nonadecane;0,84500;-11,15010;-5,66100
9;Octadecane;0,80300;-11,14080;-5,86840
10;Heptadecane;0,75300;-11,41570;-7,82320
11;Hexadecane;0,71800;-9,26770;-9,50480
12;Pentadecane;0,68500;-9,31480;-7,59380
13;Tetradecane;0,64400;-9,28690;-4,47970
14;Anthracene;0,50100;-8,25340;-0,00880
15;Phenantrene;0,47900;-8,59570;-3,00480
16;Tridecane;0,61800;-9,26270;-5,04250
17;Diphenylmethane;0,48100;-8,79320;-4,64430
18;Dodecane;0,57600;-9,12710;-4,95170
19;Undecane;0,53700;-9,01460;-4,94690
20;2-Methylnaphtalene;0,37400;-8,11700;-3,55810
21;1-Metinaphtalene;0,34800;-7,80940;-3,36400
22;Decan-1-ol;0,66100;-9,66470;-15,04770
23;2,2,5,5-Tetramethylhexane;0,37700;-7,74190;-2,92100
24;2,2,3,3-Tetramethylhexane;0,36600;-8,24810;-4,24880
25;3,3,5-Trimethylheptane;0,38300;-8,10550;-4,10080
